filename,transcription
ask_chatgpt_001.wav,ask chatgpt what two plus two is
ask_chatgpt_002.wav,ask chatgpt recommend a movie for a rainy day
ask_chatgpt_003.wav,ask chatgpt who is the tallest NBA player
ask_chatgpt_004.wav,ask chatgpt how do I change my Wi-Fi password
ask_chatgpt_005.wav,ask chatgpt what time is sunset in London today
ask_chatgpt_006.wav,ask chatgpt to translate good night into Japanese
ask_chatgpt_007.wav,ask chatgpt why do leaves change color in autumn
ask_chatgpt_008.wav,ask chatgpt
ask_chatgpt_009.wav,ask chat gpt
ask_chatgpt_010.wav,ask chatgpt what are the symptoms of dehydration
ask_chatgpt_011.wav,ask chatgpt give me three tips to stay focused while studying
ask_chatgpt_012.wav,ask chatgpt which countries have hosted the Olympics the most times
ask_chatgpt_013.wav,ask chatgpt how long does it take to fly from New York to Sydney
ask_chatgpt_014.wav,ask chatgpt explain how solar panels generate electricity in simple words
ask_chatgpt_015.wav,ask chatgpt what’s the difference between a crocodile and an alligator
ask_chatgpt_016.wav,ask chatgpt tell me about the process of photosynthesis in plants
ask_chatgpt_017.wav,ask chatgpt to list five important inventions of the twentieth century
ask_chatgpt_018.wav,ask chatgpt how can I start learning to play the guitar as a beginner
ask_chatgpt_019.wav,ask chatgpt what are some ways to reduce stress during final exams
ask_chatgpt_020.wav,ask chatgpt who painted the ceiling of the Sistine Chapel and in what year was it completed
ask_chatgpt_021.wav,ask chatgpt to recommend a healthy recipe I can make in under thirty minutes with chicken and vegetables
ask_chatgpt_022.wav,ask chatgpt to describe the plot of my favorite movie Inception in three sentences or less
ask_chatgpt_023.wav,ask chatgpt how do I organize my schedule effectively if I have classes work and personal projects
ask_chatgpt_024.wav,ask chatgpt what is the process to renew my passport if I live in California and it expires next month
ask_chatgpt_025.wav,ask chatgpt what’s the best way to train for a half marathon if I only have ten weeks before the race
ask_chatgpt_026.wav,ask chatgpt could you give me a list of ten must-see landmarks if I visit Paris for the first time
ask_chatgpt_027.wav,ask chatgpt to explain the rules of chess to someone who has never played the game before
ask_chatgpt_028.wav,ask chatgpt what are the main differences between classical and jazz music in terms of structure and improvisation
ask_chatgpt_029.wav,ask chatgpt can you tell me about three famous women scientists and what they are known for
ask_chatgpt_030.wav,ask chatgpt write a short email to my boss requesting time off next Friday for a family emergency
ask_chatgpt_031.wav,ask chatgpt how do I set up a secure home Wi-Fi network with a strong password and guest access
ask_chatgpt_032.wav,ask chatgpt what causes the seasons to change and why do we experience summer and winter at different times of the year
ask_chatgpt_033.wav,ask chatgpt summarize the main arguments for and against using electric cars instead of gasoline-powered vehicles
ask_chatgpt_034.wav,ask chatgpt give me a step-by-step guide for making homemade pizza dough without a standard mixer
ask_chatgpt_035.wav,ask chatgpt what precautions should I take if I am traveling to a country where malaria is common
ask_chatgpt_036.wav,ask chatgpt suggest some fun indoor activities for kids on a rainy day that do not require screens or technology
ask_chatgpt_037.wav,ask chatgpt how does the process of applying to universities in the United States differ from that in Europe
ask_chatgpt_038.wav,ask chatgpt tell me about the main characters in the novel Pride and Prejudice and their relationships
ask_chatgpt_039.wav,ask chatgpt what are the potential impacts of climate change on agriculture in developing countries
ask_chatgpt_040.wav,ask chatgpt create a shopping list for a week’s worth of healthy dinners for two people on a budget
ask_chatgpt_041.wav,ask chatgpt can you explain how the internet works using an analogy that a ten-year-old would understand
ask_chatgpt_042.wav,ask chatgpt what are the recommended daily exercises for someone who wants to improve flexibility and strength
ask_chatgpt_043.wav,ask chatgpt find three quick breakfast ideas for busy mornings that are high in protein
ask_chatgpt_044.wav,ask chatgpt outline the steps involved in writing a scientific research paper from start to finish
ask_chatgpt_045.wav,ask chatgpt what should I consider when choosing a college major if I like both science and art
ask_chatgpt_046.wav,ask chatgpt what is the best way to prepare for a job interview at a tech company as a software developer
ask_chatgpt_047.wav,ask chatgpt to explain the process of photosynthesis in detail including the role of chlorophyll and sunlight
ask_chatgpt_048.wav,ask gpt if I want to improve my public speaking skills what exercises should I practice regularly
ask_chatgpt_049.wav,ask chatgpt can you list the pros and cons of remote work versus working in an office environment for productivity and work-life balance
ask_chatgpt_050.wav,ask chatgpt give me some creative ways to recycle or reuse plastic containers at home

ask_lock_001.wav,lock my computer
ask_lock_002.wav,lock the computer
ask_lock_003.wav,please lock my computer
ask_lock_004.wav,can you lock my computer?
ask_lock_005.wav,lock my mac
ask_lock_006.wav,lock my laptop
ask_lock_007.wav,please lock the screen
ask_lock_008.wav,lock the screen
ask_lock_009.wav,can you lock the screen
ask_lock_010.wav,activate the lock screen
ask_lock_011.wav,lock it
ask_lock_012.wav,lock everything
ask_lock_013.wav,lock
ask_lock_014.wav,i want to lock my computer
ask_lock_015.wav,turn on the lock screen
ask_lock_016.wav,please activate the lock screen
ask_lock_017.wav,lock this device now
ask_lock_018.wav,secure my computer with the lock
ask_lock_019.wav,lock the system immediately
ask_lock_020.wav,please lock everything right now

ask_spotify_001.wav,open spotify and play yesterday by the beatles
ask_spotify_002.wav,open spotify and play shape of you by ed sheeran
ask_spotify_003.wav,open spotify and play bad guy by billie eilish
ask_spotify_004.wav,open spotify and play blinding lights by the weeknd
ask_spotify_005.wav,open spotify and play perfect by ed sheeran
ask_spotify_006.wav,open spotify and play uptown funk by bruno mars
ask_spotify_007.wav,open spotify and play rolling in the deep by adele
ask_spotify_008.wav,open spotify and play hotel california by the eagles
ask_spotify_009.wav,open spotify and play hey jude by the beatles
ask_spotify_010.wav,open spotify and play can’t stop the feeling by justin timberlake
ask_spotify_011.wav,open spotify and play all of me by john legend
ask_spotify_012.wav,open spotify and play shallow by lady gaga and bradley cooper
ask_spotify_013.wav,open spotify and play someone like you by adele
ask_spotify_014.wav,open spotify and play someone you loved by lewis capaldi
ask_spotify_015.wav,open spotify and play watermelon sugar by harry styles
ask_spotify_016.wav,open spotify and play despacito by luis fonsi
ask_spotify_017.wav,open spotify and play see you again by wiz khalifa
ask_spotify_018.wav,open spotify and play old town road by lil nas
ask_spotify_019.wav,open spotify and play as it was by harry styles
ask_spotify_020.wav,open spotify and play industry baby by lil nas x and jack harlow
ask_spotify_021.wav,open spotify and play drivers license by olivia rodrigo
ask_spotify_022.wav,open spotify and play dance monkey by tones and i
ask_spotify_023.wav,open spotify and play bad habits by ed sheeran
ask_spotify_024.wav,open spotify and play good 4 u by olivia rodrigo
ask_spotify_025.wav,open spotify and play montero by lil nas x
ask_spotify_026.wav,open spotify and play memories by maroon 5
ask_spotify_027.wav,open spotify and play someone like you by adele
ask_spotify_028.wav,open spotify and play stay by the kid laroi and justin bieber
ask_spotify_029.wav,open spotify and play levitating by dua lipa
ask_spotify_030.wav,open spotify and play anti hero by taylor swift

ask_notes_001.wav,open notes and write down my grocery list
ask_notes_002.wav,open notes and write down project ideas for tomorrow
ask_notes_003.wav,open notes and write down meeting summary
